commit,author_date,subject
49c8a1dd4fffb5238b482c1e900a79d21f09152f,2026-09-02T22:04:07-07:00,Merge pull request #9 from picapicaowo-alt/codex/parent-notification-presentation
5210b3774a9728cda171c020215f523c8809810e,2026-09-02T22:00:08-07:00,Align Parent notification presentation with the shared inbox
b093ecc5b3980de8b3202d3267dd81a2ce0c2a2e,2026-09-02T21:56:41-07:00,Merge pull request #8 from picapicaowo-alt/codex/figma-auth-viewport-fit
8a2153879b9baba771d94ae5d7713d411b1c0f46,2026-09-02T21:52:12-07:00,test: wait for checkpoint artwork decoding
8550d93116b09fb3e93106013323a0062e32fbb0,2026-09-02T21:50:49-07:00,fix: fit auth artwork to wide short viewports
ad8a9f28b03fd9fe3b465e8ca05c22f297f7148b,2026-09-02T21:47:11-07:00,Merge pull request #7 from picapicaowo-alt/codex/figma-responsive-all-roles
3fb9f9e36171949d333a2ae89c668076512ddd00,2026-09-02T21:44:19-07:00,feat: align authentication and advisor details with Figma
4bd46cd99201fded41c248a775aa680e5398ce36,2026-09-02T20:17:02-07:00,feat: implement responsive Figma workspaces across roles
cc6575a8f1b75bf5c5fd1d1ecf3e06b258c07d8a,2026-09-02T19:06:22-07:00,Merge pull request #6 from picapicaowo-alt/codex/contract-disclosures-history-release
a76c8a26e77b33c071b64e2507790f13d8b7d1f4,2026-09-02T19:02:30-07:00,feat: align role contracts and add collapsible advising workspaces
718c4a553af96e314392ac01f8c800e351f3d6e4,2026-09-02T03:36:45-07:00,Merge pull request #5 from picapicaowo-alt/codex/dev8085-validation-matrix
d6b30c458e87bcf2d33949c2b322ccea94a48314,2026-09-02T03:34:03-07:00,docs: update Dev acceptance matrix
f12f985ca9dfde386d31375665eb6d985ed88c98,2026-09-02T03:26:20-07:00,Merge pull request #4 from picapicaowo-alt/codex/full-role-uiux-release
29cc1b36e93545653a8bb719755efc3893656f5d,2026-09-02T03:22:20-07:00,fix: stabilize responsive role acceptance
9784780c22ae5aba52260013deb3fc3c3bc0e4f3,2026-09-02T03:02:09-07:00,feat: polish role workflows and contract UX
ff98939444d050bd746bf155db8043792f97e411,2026-09-01T21:39:25-07:00,feat: complete tenant governance workflows
0c4b33e9909bfdc170bfb7cb9b61e2dc5e002831,2026-09-01T20:59:04-07:00,Merge pull request #3 from picapicaowo-alt/codex/responsive-shell-dashboard
0c3712ddf384c3d6fb07fe9be8756549ffb6d671,2026-09-01T20:55:36-07:00,feat(ui): make app shell and workspaces responsive
3d3093cceabddf842a958cd80cf92f962e1c298b,2026-09-01T17:07:31-07:00,Merge pull request #2 from picapicaowo-alt/codex/figma-uiux-refresh
a1367b8e9930f6692b7436c310d89dc3f5c952bf,2026-09-01T17:04:10-07:00,feat: align X-Learn UI with Figma
b22ec48554f6985369cbab9213266f36935432b4,2026-08-31T12:40:58-07:00,feat: align IELTS frontend with latest API contracts
6bd4ba5df4775261e0becbaca15d9a4be5372ff1,2026-08-29T21:30:33-07:00,fix: connect vocabulary to deployed service safely
66d76ae48cd51df62262598817374d0c6bdd1fa1,2026-08-29T20:54:34-07:00,merge: integrate vocabulary learning module
6ea74d756db99436573c05f3186b7d817288567b,2026-08-29T20:52:11-07:00,feat: add role-aware training operations and mock exams
44c568f76cc4c2311ce6ef525c67e9b1525ef85b,2026-08-29T20:27:49-07:00,feat: flip vocabulary cards before rating
e8ef083e3c307c880c72f5a7013f7e12b13a4e27,2026-08-29T19:17:10-07:00,feat: identify and end blocking vocabulary sessions
ee716768db7c332584ca6bcb5e287f795cc461e6,2026-08-29T18:59:00-07:00,fix: clarify vocabulary study mode behavior
